Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
AB Aviation,9,"""pretty decent airline""",11th November 2019,TRUE,,Solo Leisure,Economy Class,Moroni to Moheli,Nov-19,4,5,4,4,,,3,yes
AB Aviation,1,"""Not a good airline""",25th June 2019,TRUE,E120,Solo Leisure,Economy Class,Moroni to Anjouan,Jun-19,2,2,1,1,,,2,no
AB Aviation,1,"""flight was fortunately short""",25th June 2019,TRUE,Embraer E120 ,Solo Leisure,Economy Class,Anjouan to Dzaoudzi,Jun-19,2,1,1,1,,,2,no
Adria Airways,1,"""I will never fly again with Adria""",28th September 2019,FALSE,,Solo Leisure,Economy Class,Frankfurt to Pristina,Sep-19,1,1,,1,,,1,no
Adria Airways,1,"""it ruined our last days of holidays""",24th September 2019,TRUE,,Couple Leisure,Economy Class,Sofia to Amsterdam via Ljubljana,Sep-19,1,1,1,1,1,1,1,no
Adria Airways,1,"""Had very bad experience""",17th September 2019,TRUE,CR 900,Couple Leisure,Economy Class,Sarajevo to Ljubljana,Sep-19,1,1,1,1,1,1,1,no
Adria Airways,1,"""worse than the budget airlines""",6th September 2019,FALSE,,Business,Economy Class,Ljubljana to Zürich,Sep-19,1,1,1,1,,,1,no
Adria Airways,1,"""book another company""",24th August 2019,FALSE,Bombardier CRJ,Solo Leisure,Economy Class,Timisoara to Munich,Aug-19,1,1,1,1,1,1,1,no
Adria Airways,1,"""combined two flights""",6th August 2019,TRUE,,Solo Leisure,Economy Class,Pristina to Zürich via Ljubliana,Aug-19,1,2,1,1,1,1,1,no
Adria Airways,8,"""the crew was nice""",12th October 2018,TRUE,,Family Leisure,Economy Class,Ljubljana to Munich,Oct-18,4,4,3,5,,,5,yes
Adria Airways,1,"""Very bad experience overall""",5th October 2018,FALSE,,Business,Economy Class,Zurich to Ljubljana,Oct-18,2,1,,1,1,1,1,no
Adria Airways,1,"""bad customer service""",29th July 2018,TRUE,,Family Leisure,Economy Class,Vienna to Sofia,Jul-18,4,1,1,4,,,1,no
Adria Airways,2,"""overall very poor""",19th July 2018,TRUE,,Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May-18,3,3,,3,,,2,no
Adria Airways,2,"""Would not fly again""",30th June 2018,TRUE,,Business,Economy Class,Ljubljana to Munich,Jun-18,1,2,2,2,,,1,no
Adria Airways,3,"""very unpleasant experience""",24th June 2018,TRUE,A319,Couple Leisure,Economy Class,Ljubljana to Prague,Jun-18,3,3,,1,,,1,no
Adria Airways,1,"""Flight was very comfortable""",4th May 2018,TRUE,,Business,Economy Class,Frankfurt to Ljubljana,Apr-18,5,5,5,5,,,5,yes
Adria Airways,1,"""delayed for more than 2 hours""",11th March 2018,TRUE,,Solo Leisure,Economy Class,Ljubljana to Frankfurt,Mar-18,2,1,1,1,1,1,1,no
Adria Airways,3,"""should be ashamed of their operations""",5th December 2017,TRUE,ATR-72,Solo Leisure,Economy Class,Ljubljana to Vienna,Sep-17,2,4,1,1,,,3,no
Adria Airways,9,"""Two nice short flights""",20th November 2017,TRUE,CRJ700 / ATR72,Business,Economy Class,Ljubljana to Sarajevo,Nov-17,5,5,3,5,,,3,yes
Adria Airways,2,"""extremely bad service""",27th October 2017,FALSE,,Couple Leisure,Economy Class,Zurich to Ljubjana,Oct-17,3,3,,1,,,1,no
Adria Airways,2,"""never fly this airline again""",16th September 2017,FALSE,,Family Leisure,Economy Class,Ljubljana to Munich ,Jun-17,3,4,1,1,,1,2,no
Adria Airways,9,"""can't remember a flight delay""",19th April 2017,FALSE,CR9,Business,Economy Class,Ljubljana to Zurich,Apr-17,5,5,4,5,4,,4,yes
Adria Airways,8,"""seat was quite comfortable """,27th January 2017,FALSE,Canadair 700,Solo Leisure,Business Class,LJU to VIE,Dec-16,5,5,4,5,5,5,4,yes
Adria Airways,1,"""nice and comfortable flights""",10th November 2016,FALSE,CRJ900,Business,Economy Class,LJU to VIE,Oct-16,5,5,,5,,,4,yes
Adria Airways,8,"""what a great surprise""",9th November 2016,FALSE,CRJ900,Solo Leisure,Business Class,LJU to CPH,Nov-16,4,4,3,3,,,4,yes
Adria Airways,5,"""value for money is not there nor the experience""",3rd November 2016,FALSE,,Business,Economy Class,CDG to LJU,Nov-16,3,5,1,4,3,3,1,no
Adria Airways,2,"""fleet is tired and outdated""",21st October 2016,FALSE,CRJ-900,Solo Leisure,Economy Class,MUC to LJU,Oct-16,1,1,2,3,1,,1,no
Adria Airways,3,"""underwhelming and unimpressive""",10th October 2016,FALSE,CRJ-900,Solo Leisure,Economy Class,LJU to AMS,Oct-16,3,1,1,2,2,,2,no
Adria Airways,3,"""very different experiences""",30th September 2016,FALSE,CRJ900 / A319,Couple Leisure,Economy Class,LJU to BRU,Aug-16,2,2,,4,,,4,no
Adria Airways,6,"""staff were all pleasant enough""",4th September 2016,FALSE,A319,Family Leisure,Economy Class,MAN to LJU,Sep-16,2,4,3,3,4,4,4,yes
Adria Airways,3,"""Adria do not take criticism well""",6th August 2016,FALSE,,Couple Leisure,Economy Class,LGW to LJU,Jul-16,4,5,,1,,,3,no
Adria Airways,1,"""Clean and fresh aircraft """,29th July 2016,FALSE,Canadair 700,Solo Leisure,Economy Class,TLL to ARN,Jul-16,5,5,5,5,,,5,yes
Adria Airways,8,"""the airline did its job""",13th July 2016,FALSE,CRJ 900,Business,Economy Class,ZRH to LJU,Jul-16,4,4,3,5,,,4,yes
Adria Airways,1,"""nice and professional service""",11th July 2016,FALSE,CRJ900,Solo Leisure,Economy Class,LJU to ZRH,Jul-16,5,5,,5,,,5,yes
Adria Airways,6,"""cabin staff rather absent""",10th July 2016,FALSE,CRJ700,Solo Leisure,Economy Class,LCJ to CDG,Jul-16,3,2,2,4,2,,3,yes
Adria Airways,3,"""never flying them again""",25th January 2016,FALSE,,Solo Leisure,Economy Class,MUC to PRN,Jan-16,2,3,1,3,1,,1,no
Adria Airways,5,"""similar to low cost airline""",4th December 2015,FALSE,A319,Couple Leisure,Economy Class,LJU to AMS,Sep-15,3,3,,3,,,2,no
Adria Airways,7,"""what happened in last few months""",3rd October 2015,FALSE,CRJ900,Solo Leisure,Economy Class,Ljubljana to Moscow,Sep-15,5,1,1,5,,,5,yes
Adria Airways,9,"""very friendly and helpful staff""",20th September 2015,FALSE,A319,Business,Business Class,SKP to LJU,Sep-15,5,5,5,5,4,,5,yes
Adria Airways,5,"""service onboard was poor""",9th September 2015,FALSE,CRJ 900,Family Leisure,Economy Class,Frankfurt to Ljubljana,Feb-15,4,3,,3,,,3,no
Adria Airways,6,"""service of a low cost airline""",4th September 2015,FALSE,,Family Leisure,Economy Class,Ljubljana to Brussels,Aug-15,4,5,,5,,,2,yes
Adria Airways,1,"""staff friendly but unobtrusive""",2nd September 2015,FALSE,A319,Family Leisure,Economy Class,Manchester to Ljubljana,Aug-15,5,5,,5,,,4,yes
Adria Airways,7,Adria Airways customer review,10th April 2015,FALSE,,,Economy Class,,,4,4,4,,0,,4,yes
Adria Airways,1,Adria Airways customer review,5th January 2015,FALSE,,,Business Class,,,4,5,4,,1,,5,yes
Adria Airways,9,Adria Airways customer review,14th September 2014,FALSE,,,Economy Class,,,5,5,4,,0,,5,yes
Adria Airways,8,Adria Airways customer review,6th September 2014,FALSE,,,Business Class,,,4,4,3,,1,,4,yes
Adria Airways,4,Adria Airways customer review,16th June 2014,FALSE,,,Economy Class,,,4,2,1,,2,,2,no
Adria Airways,9,Adria Airways customer review,8th June 2014,FALSE,,,Economy Class,,,4,4,3,,3,,4,yes
Adria Airways,5,Adria Airways customer review,1st June 2014,FALSE,,,Economy Class,,,4,4,1,,0,,3,yes
Adria Airways,9,Adria Airways customer review,10th May 2014,FALSE,,,Economy Class,,,5,5,4,,3,,4,yes
Adria Airways,8,Adria Airways customer review,13th January 2014,FALSE,,,Business Class,,,4,3,4,,1,,4,yes
Adria Airways,1,Adria Airways customer review,6th January 2014,FALSE,,,Economy Class,,,5,5,4,,4,,4,yes
Adria Airways,9,Adria Airways customer review,22nd October 2013,FALSE,,,Economy Class,,,4,4,4,,4,,4,yes
Adria Airways,7,Adria Airways customer review,28th August 2013,FALSE,,,Economy Class,,,4,5,3,,3,,5,yes
Adria Airways,8,Adria Airways customer review,19th August 2013,FALSE,,,Economy Class,,,4,4,4,,0,,4,yes
Adria Airways,7,Adria Airways customer review,19th August 2013,FALSE,,,Business Class,,,3,3,4,,1,,4,yes
Adria Airways,7,Adria Airways customer review,10th June 2013,FALSE,,,Business Class,,,2,5,4,,0,,4,yes
Adria Airways,5,Adria Airways customer review,27th May 2013,FALSE,,,Economy Class,,,4,4,1,,0,,4,yes
Adria Airways,9,Adria Airways customer review,8th October 2012,FALSE,,,Economy Class,,,4,5,4,,0,,2,yes
Adria Airways,5,Adria Airways customer review,4th July 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,5,Adria Airways customer review,17th June 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,8,Adria Airways customer review,12th June 2012,FALSE,,,Economy Class,,,,,,,,,1,yes
Adria Airways,9,Adria Airways customer review,16th February 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,5,Adria Airways customer review,17th January 2012,FALSE,,,Economy Class,,,,,,,,,1,no
Adria Airways,9,Adria Airways customer review,20th September 2011,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,9,Adria Airways customer review,13th September 2011,FALSE,,,Business Class,,,,,,,,,4,yes
Adria Airways,1,Adria Airways customer review,13th September 2011,FALSE,,,Business Class,,,,,,,,,4,yes
Adria Airways,7,Adria Airways customer review,19th January 2011,FALSE,,,Economy Class,,,,,,,,,1,yes
Adria Airways,5,Adria Airways customer review,7th January 2011,FALSE,,,Economy Class,,,,,,,,,1,no
Adria Airways,5,Adria Airways customer review,10th October 2010,FALSE,,,Economy Class,,,,,,,,,1,no
Adria Airways,6,Adria Airways customer review,25th November 2009,FALSE,,,Economy Class,,,,,,,,,1,yes
Adria Airways,7,Adria Airways customer review,27th May 2009,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,5,Adria Airways customer review,26th May 2009,FALSE,,,Economy Class,,,,,,,,,4,yes
Adria Airways,3,Adria Airways customer review,28th February 2009,FALSE,,,,,,,,,,,,,no
Adria Airways,4,Adria Airways customer review,29th May 2008,FALSE,,,,,,,,,,,,,no
Adria Airways,4,Adria Airways customer review,12th May 2008,FALSE,,,,,,,,,,,,,no
Adria Airways,4,Adria Airways customer review,11th February 2008,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,4th October 2007,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,8th August 2007,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,14th July 2007,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,24th March 2007,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,9th October 2006,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,29th September 2006,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,27th September 2006,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,2nd August 2006,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,21st February 2006,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,1st October 2005,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,15th September 2005,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,3rd December 2004,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,18th March 2004,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,1st November 2003,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,31st July 2003,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,6th December 2002,FALSE,,,,,,,,,,,,,no
Adria Airways,n,Adria Airways customer review,25th August 2002,FALSE,,,,,,,,,,,,,no
Aegean Airlines,1,"""Very poor service""",24th July 2023,TRUE,,Family Leisure,Economy Class,Heraklion to Istanbul via Athens,Jul-23,2,1,1,1,4,2,1,no
Aegean Airlines,1,"""We expected meaningful compensation""",19th July 2023,TRUE,,Couple Leisure,Economy Class,Stockholm to Cairo via Athens,Jun-23,3,1,3,1,,,1,no
Aegean Airlines,4,"""Very poor customer service""",17th July 2023,TRUE,,Family Leisure,Economy Class,Athens to Brussels ,May-23,2,3,3,2,1,,2,yes
Aegean Airlines,4,"""Poor customer service""",16th July 2023,TRUE,,Couple Leisure,Premium Economy,Athens to Mykonos,Jul-23,3,2,,2,,,2,no
Aegean Airlines,1,"""inconsiderate and extremely incompetent""",16th July 2023,FALSE,,Couple Leisure,Economy Class,Barcelona to Athens,Jul-23,1,1,1,1,1,1,1,no
Aegean Airlines,1,"""lost all our luggage""",15th July 2023,FALSE,,Couple Leisure,Business Class,Santorini to Florence,Jul-23,1,1,1,1,1,1,1,no
Aegean Airlines,1,"""pretty bad track record""",11th July 2023,FALSE,,Couple Leisure,Economy Class,Athens to Chania,Jul-23,3,3,1,1,,,2,no
Aegean Airlines,1,"""would like to thank the employee""",7th July 2023,TRUE,,Couple Leisure,Economy Class,Santorini to Tel Aviv via Thessaloniki / Athens,Jul-23,3,3,,5,,,5,yes
Aegean Airlines,8,"""FA were courteous and helpful""",5th July 2023,TRUE,A320,Business,Business Class,Munich to Athens,Jun-23,3,4,4,3,,,4,yes
Aegean Airlines,4,"""baggage came with 1 hour delay and broken""",4th July 2023,TRUE,,Business,Economy Class,London to Athens,Jun-23,2,4,3,1,,,2,no
Aegean Airlines,1,"""Worst service ever experienced""",3rd July 2023,FALSE,,Business,Business Class,Athens to Mitilini,Jul-23,5,5,5,1,,,1,no
Aegean Airlines,6,"""seats were changed, splitting up the party""",1st July 2023,TRUE,A321,Couple Leisure,Economy Class,Athens to London Heathrow,Jun-23,4,3,2,4,,1,5,yes
Aegean Airlines,1,"""my baggage did not arrive""",1st July 2023,TRUE,,Solo Leisure,Economy Class,Cairo to Athens,Jun-23,1,1,,1,,,1,no
Aegean Airlines,2,"""they changed our seats""",30th June 2023,TRUE,,Couple Leisure,Economy Class,Malaga to Athens,Jun-23,1,2,1,1,,,3,no
Aegean Airlines,9,"""All in all a great airline""",29th June 2023,TRUE,A320/A321neo,Couple Leisure,Economy Class,Sofia to Larnaca via Athens,Jun-23,5,5,5,4,,,5,yes
Aegean Airlines,9,"""Crew was friendly""",30th May 2023,TRUE,A320ceo,Couple Leisure,Business Class,Rhodes to Athens,May-23,5,5,5,5,,,5,yes
Aegean Airlines,1,"""overbooked the flight""",23rd May 2023,TRUE,,Family Leisure,Economy Class,Rome to Athens,May-23,1,1,1,1,1,1,1,no
Aegean Airlines,1,"""did not wear a name tag""",2nd May 2023,FALSE,,Business,Economy Class,Mytilini to Athens,May-23,1,1,1,1,,,1,no
Aegean Airlines,8,"""Crew was friendly and helpful""",30th April 2023,TRUE,A320ceo,Couple Leisure,Economy Class,Tirana to Athens,Apr-23,4,5,3,5,,,5,yes
Aegean Airlines,1,"""Please keep up the excellent work""",26th April 2023,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,Apr-23,5,5,5,5,3,4,5,yes
Aegean Airlines,9,"""kept up the high standards""",23rd April 2023,TRUE,A321 Neo,Solo Leisure,Economy Class,Athens to London,Apr-23,4,5,5,4,,4,4,yes
Aegean Airlines,1,"""my experience was anything but pleasant""",20th April 2023,TRUE,,Solo Leisure,Economy Class,Belgrade to Marrakech via Athens,Apr-23,1,1,1,1,,,1,no
Aegean Airlines,1,"""The ground crew were poor""",7th April 2023,TRUE,,Solo Leisure,Economy Class,Corfu to Athens,Mar-23,3,3,2,1,,,2,no
Aegean Airlines,3,"""refused me with my laptop and small carry on""",1st April 2023,TRUE,A320neo,Solo Leisure,Economy Class,Brussels to Thessaloniki via Larnaca,Mar-23,4,5,3,1,,,3,no
Aegean Airlines,9,"""In Flight Service was nice""",26th March 2023,TRUE,A321NEO,Couple Leisure,Business Class,Athens to Frankfurt,Mar-23,4,5,5,4,4,5,5,yes
